geneid	chrom	startpos	endpos
44XAZKA	23	65245	65756
A5ES	11	728195	728688
ITXWEM3	7	205669	206181
7FTFWMHZ	20	992128	992623
9HZILVK	10	908388	908902
1GL5V	8	636002	636503
Z8U5M8	16	151530	152041
2HVXRL8	1	710610	711100
1HYD5	11	245774	246269
8FA89BVZ	2	934374	934864
LXJ7MZ	4	459330	459825
OU2VR9	1	304593	305097
M5B9A	5	12477	12980
0ERKN	6	432279	432778
BT1TJ	6	719542	720029
NXDS	19	321727	322229
V24RCYM	18	195944	196441
OF168	16	830825	831323
DPE4L	8	995620	996123
FV3JDSSP	23	791411	791897
5HNUJY	16	453153	453672
YZEX7	19	347365	347859
B39PYCL	9	836941	837427
V95H	12	755360	755856
8C0LOD	21	590735	591241
AJ2S9K	20	782690	783194
8UR8NYY0	3	907734	908241
U49X35	8	817432	817948
21ICJ1	15	850123	850620
DE7S	22	662053	662555
9IYBG4	11	319361	319853
RDL4VVZS	1	101409	101912
ILET	19	671870	672355
U6LQ	5	936527	937020
KXXOI6C	11	954551	955049
8VGA4	13	850125	850633
BAPWFIC	9	517233	517711
H4N1H	10	35328	35816
4MS0QGNT	5	678503	679001
5EGP5ZF6	19	731483	731982
61J0	5	518742	519222
AEU2GUU	18	255092	255589
I0PVMOVF	12	11330	11833
RJWXV3	1	718310	718808
T7NVN9	22	977410	977920
CJ3QC	18	688033	688529
H3UM6NMZ	20	135227	135716
USML2H	21	652245	652736
X2KC0LW	4	549341	549816
26N7	14	678448	678946
90JV	1	86056	86551
NFE6	9	740467	740983
KOIWR5LQ	10	81120	81627
HF2JB	5	506378	506881
OBACA	1	329720	330206
IVQEBQU	5	774654	775149
JEFB	12	175631	176134
MCY47D	10	625852	626348
OGWV8DM	13	60196	60693
9XBVJ035	13	317272	317766
I48E9	10	519977	520477
FG46	12	155937	156432
UME4TA	15	946005	946506
LTRK6	7	963514	964017
J6OQ7	23	206355	206856
5755	6	75394	75927
7HXSCMI	1	474060	474536
0XDY8Z4	2	401672	402176
W4GB	8	703390	703888
XNDP	23	818035	818551
COSQP49X	14	804553	805052
9X0E	21	844435	844931
0C9ARCJ	13	286023	286524
ZLT5O2	8	681714	682215
RALQK	5	91595	92094
ZXX8RZCD	5	628660	629158
Q27B8BQF	11	395618	396135
JH3YBUS	12	754841	755339
3VIJ2I	18	712678	713182
P6L1	23	418844	419341
J932L	22	569295	569766
WYFNS4KK	2	824493	824989
ZY4X	18	831811	832312
9QF3M	14	161179	161657
6HMOT	15	5135	5635
7JXY	12	755421	755926
UC10	3	922642	923139
48QZBOGQ	13	136007	136504
JZS03E	11	497555	498056
G3RQP	3	745304	745797
UV18YIN	14	617355	617855
BLAVUJ	22	49668	50153
OSS7CURN	2	48968	49458
OV4X8AE	20	710817	711320
L9DGQ0	1	354152	354654
H1L6	19	327768	328276
5MS2	15	651688	652198
ACCJTU	11	417909	418410
OXDFJJ	22	881007	881496
AH3IG1	5	324978	325483
PONEGS	5	290690	291187
D1BV	10	867456	867946
QFCWR	18	558532	559022
8V3Z7YST	6	555325	555828
ZMKZ3MG	20	211469	211981
YO3V8	20	988481	988958
819GY	13	185574	186079
9WWWB	19	208222	208719
WEEO7F	14	104226	104728
059483QL	6	787610	788115
C0EI	15	415502	415991
R9SAK	2	633959	634491
JXZH7GX	3	93942	94445
ARPBV1H	2	601281	601790
49YSB3Y	23	279549	280051
JLEAVIWW	10	789275	789761
2VP45SC9	10	145423	145924
LJVSJ	7	327311	327813
W0BHGF	4	606079	606576
77FP	14	996856	997360
XLUIS	6	801589	802089
CW3M	3	514839	515347
5M3PDP	22	824380	824884
3YI62QP	18	725203	725680
INXII	7	110668	111166
9MYT9AT	20	506339	506823
NY09CTIW	14	266597	267083
6CT77	13	597496	597994
LHCW	20	437241	437750
S5FS	21	215046	215543
K1FC1DOL	15	321262	321765
7W9YN	6	579421	579903
JH14	18	374488	374982
BSAOE	19	896635	897128
U5G3CMJ	9	32188	32690
0R750P	23	892466	892972
N2S0DZL	6	450568	451057
QXYA	6	810734	811232
ZFLCRT	21	890002	890519
1NM1M	2	946378	946879
0PKT8W	7	365236	365734
THGB72OB	13	504894	505401
W93B	17	75276	75775
GK7ZR9	1	959234	959740
3LI0OTU	20	479211	479716
O399D	22	85049	85540
FTN39YDA	15	675115	675612
7UQ3	3	734291	734784
W9YMD383	19	503530	504027
I5XT	14	789464	789962
EVMZIYFF	23	375502	375999
IBZ05	7	616817	617327
EIY5BJG	4	935698	936207
KXB1	17	220040	220546
X3MHAI5Y	18	741841	742341
G11FG0Q	14	447684	448181
HC72GPNN	1	786506	787009
GOJK	6	850340	850849
FBCTI	19	271226	271741
BLSCNC	8	416611	417111
FKP510H	17	69154	69639
OIJ6B	17	844659	845166
PECJAMX	8	312464	312967
O1A6BH	13	904981	905486
4ODJUTIN	22	699142	699629
KVEC	20	797382	797889
QDY0H	4	336576	337070
A0K6R	1	592019	592535
X5GMONX4	14	777962	778464
2CG19	10	444523	445027
HSZJ0A	7	716981	717491
FSMZ	5	23400	23915
RLSVM5P	17	768280	768781
ETZ7PQ	15	240225	240717
V2SE	18	607468	607954
HB5L	12	491632	492093
U95A	10	211493	211991
ZUZI	4	364123	364627
DDO5SD	16	922129	922617
88MII	12	392729	393228
M6CG	13	410551	411054
P835JOUC	12	595853	596356
ASH98S1	4	708573	709056
HMZJTS8	19	750055	750561
CKOM	12	975414	975908
12ZSL	2	624694	625199
9ABE	18	926507	927017
WWPEPBH	19	652381	652871
8LRJ17	18	197520	198013
AG9UCG2	4	34392	34890
8R6I1D06	2	846570	847072
IVWKCHG	16	972363	972872
BQB1C	9	434649	435144
XAZHGIU	10	339931	340425
YH8N4MU2	12	261699	262195
YTCE6U9	8	326507	327004
ML0HGS	12	144001	144505
BM6V1WL	11	427988	428487
LJVKI	15	207732	208230
AM2E	14	999116	999608
QBCIND11	23	804146	804638
JG6C	4	394846	395340
9DHBFR5	8	521673	522182
BDECYAHB	3	502753	503252
UM5K71P	23	635567	636061
TVH8MW	7	555286	555786
OWRNHG3H	15	281800	282305
OWCYA4G	16	115769	116271
LLK2DWH2	12	321883	322387
VKOP	2	372530	373012
5DYG1D	7	756003	756500
ZTE6	2	163032	163531
POOF8X	3	404642	405142
UVA1N	23	508044	508554
GF21U	20	270086	270577
7KUOCXU6	9	902191	902693
MNEBQM	2	530326	530841
HWZY5GVC	8	400414	400918
2ZKLQ9LB	17	174375	174878
3VBEB	13	405650	406137
93ZJXU	11	848867	849362
L5TT0VIE	20	298968	299472
6IL0B3	9	128386	128883
UA0Z	19	503798	504304
744423J	23	296208	296713
ER0I0D	3	14420	14931
0Z3L	11	520083	520565
RASVWZQ	13	367786	368290
897V3	20	75545	76057
DZH8F7F	9	30274	30769
8QNFR	5	484143	484634
4I0L6I7Y	15	540683	541191
SRBZJ	10	175803	176313
XHCUMLJ	17	795076	795580
OTAHXIM8	11	829585	830087
9TUGBS	12	570814	571327
N0EF	7	870677	871159
16UPU9X	21	882817	883302
60EP	7	242376	242870
XDKGL1V	22	456616	457118
UP8VJ	5	375322	375841
UQ21	2	201259	201763
UUDV2L	4	514606	515105
TMHX51J	17	538017	538512
UL4W9T81	12	91695	92174
P72J	9	219746	220241
5SFWC7IL	15	712672	713161
MT6WMPU	8	424840	425346
212ZMZUI	12	925484	925973
7VIP6YF	20	93017	93511
PDH8V7	11	957531	958021
24KR	13	992692	993177
A2CO1	2	192162	192664
MEEVP	20	685054	685565
Z3OGR	11	897553	898060
FWH0T0H9	21	573869	574374
3E6F2EOW	3	185905	186409
1P140YZN	6	377911	378403
XRPZP	1	206232	206731
T467	19	313168	313670
3SXSU	13	527069	527585
A1NC	14	489775	490291
QO30	17	25323	25819
98P9QVC	17	993434	993923
3CWH85PU	5	642734	643230
E9SGNLO	21	645814	646316
GT5QJNG	17	105077	105588
ZUPI	11	44993	45496
OIV8	12	372185	372681
CK58S5	21	850109	850608
6YFO83	22	26723	27208
7KNV	4	713403	713900
67L0	16	118294	118797
MMRZN	18	333885	334395
S1TTSG	16	993384	993874
08NGN	5	848259	848750
5LFV	12	793687	794171
J83BW	13	689199	689688
I26H	9	875098	875611
27AJRMG	23	991469	991971
